season,mfl_id,gsis_id,display_name,last_name,pos,points,war,rank,award,label,headshot,category,pctl,group,category_f,award_f,subline
2020,14813,00-0035831,James Robinson,Robinson,RB,202,1.52,1,OROY,Offensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ljncffeh5fst4r98izx3",war_total_pctl,0.506578947368421,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2020,14852,00-0036328,Antonio Gibson,Gibson,RB,183.8,1.24,2,OROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f5ttgwsx8z2kqygdczj9",war_total_pctl,0.40789473684210525,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2020,14803,00-0036360,Clyde Edwards-Helaire,Edwards-Helaire,RB,152.6,0.78,3,OROY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wjii8ls1n8e5gjf9ytnm",war_total_pctl,0.28289473684210525,All award candidates 2016-2022,war_total_pctl,OROY,Most WAR: Offensive Rookie
2020,14896,00-0036323,Patrick Queen,Queen,LB,157,0.78,1,DROY,Defensive Rookie of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okfhcgduk6lvpsjnufto",war_total_pctl,0.28289473684210525,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2020,14889,00-0036441,Kenneth Murray,Murray,LB,111,0.12,2,DROY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uwyzzrjzfhx6olv05bj0",war_total_pctl,0.06578947368421052,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2020,15029,00-0036167,Tae Crowder,Crowder,LB,38,0.1,3,DROY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sfwj4dhe8eihhmjncd7q",war_total_pctl,0.039473684210526314,All award candidates 2016-2022,war_total_pctl,DROY,Most WAR: Defensive Rookie
2021,14802,00-0036223,Jonathan Taylor,Taylor,RB,310.4,5.22,1,MVP,Most Valuable Player,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vts6mscfg5le5zugxbtj",war_total_pctl,0.993421052631579,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2021,13164,00-0033908,Cooper Kupp,Kupp,WR,305.1,2.46,2,MVP,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tojsgl1ttwjkvo6x7wgy",war_total_pctl,0.8355263157894737,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2021,13404,00-0033699,Austin Ekeler,Ekeler,RB,263.09999999999997,2.28,3,MVP,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl0nhc7kyf4aumbyzs5b",war_total_pctl,0.756578947368421,All award candidates 2016-2022,war_total_pctl,MVP,Most WAR
2021,13164,00-0033908,Cooper Kupp,Kupp,WR,305.1,2.46,1,OPOY,Offensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tojsgl1ttwjkvo6x7wgy",war_total_pctl,0.8355263157894737,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2021,13404,00-0033699,Austin Ekeler,Ekeler,RB,263.09999999999997,2.28,2,OPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl0nhc7kyf4aumbyzs5b",war_total_pctl,0.756578947368421,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2021,13131,00-0033897,Joe Mixon,Mixon,RB,226,1.74,3,OPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rd210pq6ch22vpoygtfn",war_total_pctl,0.5526315789473685,All award candidates 2016-2022,war_total_pctl,OPOY,Most WAR: Offense non-MVP
2021,13733,00-0034846,Shaquille Leonard,Leonard,LB,198,1.64,1,DPOY,Defensive Player of the Year,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryh8hjrcgpofvkfasclx",war_total_pctl,0.5460526315789473,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
2021,10775,00-0029255,Bobby Wagner,Wagner,LB,233,1.56,2,DPOY,2. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ewnw62iiygl9wpbttdum",war_total_pctl,0.5197368421052632,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
2021,12238,00-0032103,Denzel Perryman,Perryman,LB,230,1.5,3,DPOY,3. Platz,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lykb4ka1vb11exmlycwh",war_total_pctl,0.5,All award candidates 2016-2022,war_total_pctl,DPOY,Most WAR: Defense non-MVP
