"franchise_name","player_id","player_name","vbd_true_avg","true_position","pick_value_raw","comp_pick"
"Güstrow Racoons",14929,"Okwara, Julian",-2.771,"DL",-2.7694,100
"Güstrow Racoons",14149,"Gary, Rashan",-0.205,"DL",-0.2393,40
"Güstrow Racoons",14161,"Tillery, Jerry",-1.938,"DL",-1.939,69
"Güstrow Racoons",15519,"Hilliard, Justin",-9.4,"LB",-6.5081,252
"Güstrow Racoons",14962,"Gipson, Trevis",-1.271,"DL",-1.2745,56
"Güstrow Racoons",10653,"Bynes, Josh",0.446,"LB",0.4614,31
"Güstrow Racoons",15586,"Johnson, Caleb",-9.309,"LB",-6.5081,252
"Flens Pirates ",11757,"Donald, Aaron",3.374,"DL",3.3537,2
"Flens Pirates ",10768,"David, Lavonte",4.677,"LB",3.4684,1
"Flens Pirates ",12745,"Jones, Deion",6.4,"LB",3.4684,1
"Flens Pirates ",12305,"Jarrett, Grady",-1.438,"DL",-1.4456,59
"Flens Pirates ",14168,"White, Devin",4.912,"LB",3.4684,1
"Flens Pirates ",12302,"Wilson, Damien",1.225,"LB",1.2614,22
"Flens Pirates ",9833,"Pierre-Paul, Jason",-1.938,"DL",-1.939,69
"Flens Pirates ",12734,"Floyd, Leonard",2,"DL",2.0493,14
"Flens Pirates ",14170,"Bush, Devin",0.369,"LB",0.3785,32
"Flens Pirates ",14897,"Brown, Derrick",-2.205,"DL",-2.2125,78
"Flens Pirates ",12795,"Judon, Matt",1.25,"DL",1.2614,22
"Flens Pirates ",13746,"Green, Rasheem",-1.376,"DL",-1.3892,58
"Flens Pirates ",13702,"Jewell, Josey",-0.4,"LB",-0.3821,42
"Flens Pirates ",12788,"Martinez, Blake",1.933,"LB",1.9471,15
"Flens Pirates ",10269,"Quinn, Robert",1.933,"LB",1.9471,15
"Flens Pirates ",13690,"Sweat, Josh",-1.376,"DL",-1.3892,58
"Wüterich Packers",10292,"Jordan, Cameron",2.329,"DL",2.3622,11
"Wüterich Packers",10753,"Jones, Chandler",1.562,"DL",1.5487,19
"Wüterich Packers",12768,"Schobert, Joe",3.467,"LB",3.4684,1
"Wüterich Packers",13765,"Young, Kenny",0.985,"LB",0.9841,25
"Wüterich Packers",9825,"Dunlap, Carlos",-2,"DL",-2.0113,71
"Wüterich Packers",11293,"Ogletree, Alec",0.333,"LB",0.2969,33
"Wüterich Packers",12764,"Hargrave, Javon",-0.126,"DL",-0.0921,38
"Wüterich Packers",14221,"Williams, Quincy",3.467,"LB",3.4684,1
"Wüterich Packers",13293,"Reeves-Maybin, Jalen",-0.543,"LB",-0.5206,44
"Wüterich Packers",12272,"McKinney, Benardrick",-4.8,"LB",-4.8105,160
"Wüterich Packers",12481,"Hewitt, Neville",-4.775,"LB",-4.7832,159
"Wüterich Packers",10266,"Heyward, Cameron",4.25,"DL",3.4684,1
"Wüterich Packers",14928,"Wilson, Logan",4.754,"LB",3.4684,1
"Wüterich Packers",15049,"Bachie, Joe",-4.178,"LB",-4.1599,142
"Wüterich Packers",12700,"Johnson, Austin",-0.626,"DL",-0.6551,46
"Wüterich Packers",10768,"David, Lavonte",4.677,"LB",3.4684,1
"Wüterich Packers",14941,"Taylor, Davion",-1.733,"LB",-1.7178,64
"Wüterich Packers",15431,"Fields, Tony",-9.4,"LB",-6.5081,252
"Wüterich Packers",15399,"Rice, Monty",-4.7,"LB",-4.6952,156
"Cologne Thunderkittens",14260,"Holcomb, Cole",7.2,"LB",3.4684,1
"Cologne Thunderkittens",12238,"Perryman, Denzel",8.743,"LB",3.4684,1
"Cologne Thunderkittens",12287,"Hicks, Jordan",4.662,"LB",3.4684,1
"Cologne Thunderkittens",14887,"Simmons, Isaiah",2.912,"LB",2.9036,6
"Cologne Thunderkittens",14167,"Allen, Josh",2.062,"DL",2.0493,14
