player_id,player_name,vbd_true_avg,true_position,pick_value_raw
13512,"Cox, Bryan",-7.938,DL,-6.5081
13611,"Adams, Josh",-9.006,RB,-6.5081
13612,"Johnson, Kerryon",-9.006,RB,-6.5081
13647,"Ateman, Marcell",-10.194,WR,-6.5081
13666,"Fountain, Daurice",-10.194,WR,-6.5081
13698,"Jefferson, Malik",-9.4,LB,-6.5081
13739,"Dawson, Duke",-10.5,DB,-6.5081
13756,"Apke, Troy",-10.5,DB,-6.5081
13776,"Watson, Justin",-10.194,WR,-6.5081
13797,"Nickerson, Parry",-10.5,DB,-6.5081
13866,"Beal, Sam",-10.5,DB,-6.5081
13884,"Smith, Vyncint",-10.194,WR,-6.5081
13915,"Calitro, Austin",-9.4,LB,-6.5081
13932,"Ellerbee, Emmanuel",-9.4,LB,-6.5081
13936,"Virgin, Dee",-10.5,DB,-6.5081
13943,"Davis, Tae",-9.4,LB,-6.5081
13945,"Hill, Holton",-10.5,DB,-6.5081
13970,"Brown, Tony",-10.5,DB,-6.5081
13996,"Haley, Grant",-10.5,DB,-6.5081
14060,"Jackson, Tyree",-13.682,TE,-6.5081
14065,"Rypien, Brett",-16.289,QB,-6.5081
14094,"Scarlett, Jordan",-9.006,RB,-6.5081
14195,"Warring, Kahale",-13.682,TE,-6.5081
14242,"Connelly, Ryan",-9.4,LB,-6.5081
14243,"Tell, Marvell",-10.5,DB,-6.5081
14259,"Miller, Jordan",-10.5,DB,-6.5081
14261,"Smith, Sutton",-9.006,RB,-6.5081
14265,"Fulgham, Travis",-10.194,WR,-6.5081
14284,"Thompson, Darwin",-9.006,RB,-6.5081
14287,"Gillaspia, Cullen",-9.006,RB,-6.5081
14291,"Johnson, Darryl",-7.938,DL,-6.5081
14293,"Moreland, Jimmy",-10.5,DB,-6.5081
14310,"Bell, Quinton",-9.4,LB,-6.5081
14319,"Beck, Andrew",-13.682,TE,-6.5081
14321,"Thompson, Cody",-10.194,WR,-6.5081
14351,"McElroy, Codey",-10.194,WR,-6.5081
14370,"Hudson, Tanner",-13.682,TE,-6.5081
14372,"Holtz, J.P.",-13.682,TE,-6.5081
14381,"Harvey, Willie",-9.4,LB,-6.5081
14442,"Kuntz, Christian",-9.4,LB,-6.5081
14456,"Watson, Brandon",-10.5,DB,-6.5081
14509,"Bolton, Curtis",-9.4,LB,-6.5081
14543,"Harris, Darius",-9.4,LB,-6.5081
14548,"Bachman, Alex",-10.194,WR,-6.5081
14584,"Watson, Josh",-9.4,LB,-6.5081
14613,"Sims, Steven",-10.194,WR,-6.5081
14665,"Dillon, Brandon",-13.682,TE,-6.5081
14674,"Perry, Jamal",-10.5,DB,-6.5081
14681,"Harris, Demone",-7.938,DL,-6.5081
14737,"Giles-Harris, Joe",-9.4,LB,-6.5081
14780,"Eason, Jacob",-16.289,QB,-6.5081
14799,"Akers, Cam",-9.006,RB,-6.5081
14849,"Hodgins, Isaiah",-10.194,WR,-6.5081
14863,"Gandy-Golden, Antonio",-10.194,WR,-6.5081
14872,"Pinkney, Jared",-13.682,TE,-6.5081
14916,"Smith, Saivion",-10.5,DB,-6.5081
14931,"Ojemudia, Michael",-10.5,DB,-6.5081
14936,"Asiasi, Devin",-13.682,TE,-6.5081
14938,"Muse, Tanner",-9.4,LB,-6.5081
14945,"Pride, Troy",-10.5,DB,-6.5081
14968,"Weaver, Curtis",-7.938,DL,-6.5081
14969,"Hightower, John",-10.194,WR,-6.5081
14970,"Hand, Harrison",-10.5,DB,-6.5081
14972,"Coulter, Isaiah",-10.194,WR,-6.5081
14976,"Martin, Kamal",-9.4,LB,-6.5081
14980,"Brown, Cam",-9.4,LB,-6.5081
14987,"Davis, Khalil",-7.938,DL,-6.5081
14990,"Brooks, Antoine",-10.5,DB,-6.5081
14999,"Glasgow, Jordan",-9.4,LB,-6.5081
