"overall","player_id","player_name","vbd_true"
137,13200,"Charlton, Taco",-4.0404
138,13214,"Watt, T.J.",4.505
139,13236,"Everett, Gerald",-3.8644
140,13236,"Everett, Gerald",-3.8644
141,13168,"Reynolds, Josh",-5.3866
142,13173,"Stewart, ArDarius",-9.154
143,13214,"Watt, T.J.",4.505
144,13135,"Gallman, Wayne",-5.0852
145,13167,"Taylor, Taywan",-8.30975
146,13135,"Gallman, Wayne",-5.0852
147,13167,"Taylor, Taywan",-8.30975
148,13135,"Gallman, Wayne",-5.0852
149,13251,"Baker, Budda",2.7116
150,13158,"Westbrook, Dede",-3.2838
151,13114,"Kizer, DeShone",-9.4305
152,13319,"Jones, Aaron",4.539
153,13299,"Kittle, George",4.0994
154,13141,"Hood, Elijah",-9.294
155,13204,"Harris, Charles",-4.079
156,13158,"Westbrook, Dede",-3.2838
157,13204,"Harris, Charles",-4.079
158,13251,"Baker, Budda",2.7116
159,13319,"Jones, Aaron",4.539
160,13204,"Harris, Charles",-4.079
161,13251,"Baker, Budda",2.7116
162,13115,"Trubisky, Mitchell",-4.7298
163,13141,"Hood, Elijah",-9.294
164,13160,"Dupre, Malachi",-10.323
165,13277,"Golladay, Kenny",0.783399999999999
166,13205,"McKinley, Takkarist",-3.6892
167,13280,"Williams, Chad",-8.79233333333333
168,13205,"McKinley, Takkarist",-3.6892
169,13220,"Riley, Duke",-6.0474
170,13257,"Evans, Justin",0.3695
171,13280,"Williams, Chad",-8.79233333333333
172,13319,"Jones, Aaron",4.539
173,13280,"Williams, Chad",-8.79233333333333
174,13114,"Kizer, DeShone",-9.4305
175,13115,"Trubisky, Mitchell",-4.7298
176,13268,"Anzalone, Alex",-1.717
177,13121,"Kelly, Chad",-18.726
178,13293,"Reeves-Maybin, Jalen",-6.2284
179,13271,"Rivers, Derek",-5.764
180,13277,"Golladay, Kenny",0.783399999999999
181,13271,"Rivers, Derek",-5.764
182,13217,"Beckwith, Kendell",-2.385
183,13271,"Rivers, Derek",-5.764
184,13277,"Golladay, Kenny",0.783399999999999
185,13261,"Melifonwu, Obi",-8.909
186,13114,"Kizer, DeShone",-9.4305
187,13254,"Shaheen, Adam",-7.1638
188,13261,"Melifonwu, Obi",-8.909
189,13141,"Hood, Elijah",-9.294
190,13256,"Bowser, Tyus",-4.0552
191,13210,"McDowell, Malik",-3.152
192,13306,"Walker, Anthony",1.4438
193,13158,"Westbrook, Dede",-3.2838
194,13293,"Reeves-Maybin, Jalen",-6.2284
195,13257,"Evans, Justin",0.3695
196,13268,"Anzalone, Alex",-1.717
197,13254,"Shaheen, Adam",-7.1638
198,13256,"Bowser, Tyus",-4.0552
199,13293,"Reeves-Maybin, Jalen",-6.2284
200,13217,"Beckwith, Kendell",-2.385
201,13250,"King, Kevin",-2.4982
202,13254,"Shaheen, Adam",-7.1638
203,13257,"Evans, Justin",0.3695
204,13256,"Bowser, Tyus",-4.0552
205,13210,"McDowell, Malik",-3.152
206,13220,"Riley, Duke",-6.0474
209,13193,"Smith, Jonnu",-4.2008
212,13268,"Anzalone, Alex",-1.717
213,13142,"Logan, T.J.",-10.0785
215,13220,"Riley, Duke",-6.0474
216,13193,"Smith, Jonnu",-4.2008
217,13300,"Brown, Blair",-9.5175
218,13252,"Maye, Marcus",-0.0607999999999997
219,13252,"Maye, Marcus",-0.0607999999999997
221,13210,"McDowell, Malik",-3.152
222,13252,"Maye, Marcus",-0.0607999999999997
223,13193,"Smith, Jonnu",-4.2008
224,13299,"Kittle, George",4.0994
225,13165,"Switzer, Ryan",-6.99266666666667
226,13306,"Walker, Anthony",1.4438
228,13183,"Hansen, Chad",-5.787
229,10303,"Vereen, Shane",-3.633
230,13166,"Darboh, Amara",-9.683
231,13165,"Switzer, Ryan",-6.99266666666667
232,13165,"Switzer, Ryan",-6.99266666666667
234,13183,"Hansen, Chad",-5.787
235,13166,"Darboh, Amara",-9.683
237,13207,"Willis, Jordan",-4.9542
238,13306,"Walker, Anthony",1.4438
239,13290,"Cohen, Tarik",-1.4706
240,13166,"Darboh, Amara",-9.683
241,13207,"Willis, Jordan",-4.9542
242,13218,"Anderson, Ryan",-6.73225
243,13238,"Davis, Robert",-10.552
244,13218,"Anderson, Ryan",-6.73225
245,13183,"Hansen, Chad",-5.787
246,13264,"Jones, Josh",-5.1016
247,13258,"Walker, DeMarcus",-4.096
248,12206,"Williams, Maxx",-6.0232
249,13315,"Saubert, Eric",-8.9484
250,13300,"Brown, Blair",-9.5175
251,13207,"Willis, Jordan",-4.9542
252,13217,"Beckwith, Kendell",-2.385
1,13604,"Barkley, Saquon",4.69525
2,13604,"Barkley, Saquon",4.69525
3,13604,"Barkley, Saquon",4.69525
4,13605,"Guice, Derrius",1.792
5,13605,"Guice, Derrius",1.792
