"season","week","player_id","player_name","team","points","is_available","ppg","true_position","mfl_position","vbd_mfl","vbd_true"
2021,"YTD",15095,"Galeai, Tipa","GBP",18,"1",3,"LB","LB",-7.267,-6.4
2017,"YTD",10982,"Freeman, Jerrell","CHI",17,"0",17,"LB","LB",7.312,5.615
2020,"YTD",11712,"Lynch, Aaron","JAC",17,"1",2.125,"LB","LB",-9.26,-6.942
2021,"YTD",14506,"Pittman, Anthony","DET",17,"1",1.062,"LB","LB",-9.205,-8.338
2017,"YTD",11301,"Mauti, Michael","NOS",16,"1",1.455,"LB","LB",-8.233,-9.93
2020,"YTD",13705,"Griffin, Shaquem","SEA",16,"1",1.143,"LB","LB",-10.242,-7.924
2020,"YTD",12743,"Correa, Kamalei","JAC",16,"1",1.778,"LB","LB",-9.607,-7.289
2021,"YTD",14890,"Phillips, Jacob","CLE",16,"0",5.333,"LB","LB",-4.934,-4.067
2019,"YTD",13015,"Longa, Steve","DET",15,"1",1.5,"LB","LB",-8.375,-7.688
2021,"YTD",13353,"Lee, Elijah","CLE",15,"1",1,"LB","LB",-9.267,-8.4
2021,"YTD",12851,"Matakevich, Tyler","BUF",15,"1",0.938,"LB","LB",-9.329,-8.462
2021,"YTD",14559,"Gustin, Porter","CLE",15,"1",3,"LB","LB",-7.267,-6.4
2021,"YTD",13343,"Odenigbo, Ifeadi","CLE",15,"1",1.875,"LB","LB",-8.392,-7.525
2017,"YTD",9466,"Ellerbe, Dannell","PHI",14,"1",4.667,"LB","LB",-5.021,-6.718
2021,"YTD",11790,"Marsh, Cassius","CHI",14,"1",3.5,"DL","LB",-6.767,-4.438
2021,"YTD",13906,"Cabinda, Jason","DET",13.9,"1",0.993,"LB","LB",-9.274,-8.407
2019,"YTD",14229,"Miller, Christian","CAR",13,"1",1.857,"LB","LB",-8.018,-7.331
2020,"YTD",7826,"Davis, Thomas","WAS",13,"1",1.857,"LB","LB",-9.528,-7.21
2021,"YTD",13423,"Cole, Dylan","TEN",13,"1",1.625,"LB","LB",-8.642,-7.775
2021,"YTD",15062,"Ray, Wyatt","CIN",13,"1",0.929,"LB","LB",-9.338,-8.471
2021,"YTD",14988,"Bradley, Shaun","PHI",13,"1",0.929,"LB","LB",-9.338,-8.471
2018,"YTD",12419,"Hull, Mike","MIA",12,"1",1.5,"LB","LB",-8.5,-7.812
2019,"YTD",11877,"Nelson, Corey","DEN",12,"1",1.714,"LB","LB",-8.161,-7.474
2019,"YTD",12805,"Brown, Jatavis","LAC",12,"1",0.923,"LB","LB",-8.952,-8.265
2021,"YTD",14200,"Tavai, Jahlani","NEP",12,"1",1,"LB","LB",-9.267,-8.4
2017,"YTD",12689,"Dodd, Kevin","TEN",11,"1",1.571,"LB","LB",-8.117,-9.814
2020,"YTD",13218,"Anderson, Ryan","WAS",11,"1",1.222,"LB","LB",-10.163,-7.845
2020,"YTD",11954,"Elliott, Jayrone","PIT",11,"1",1.833,"LB","LB",-9.552,-7.234
2021,"YTD",14292,"Summers, Ty","GBP",11,"1",0.786,"LB","LB",-9.481,-8.614
2021,"YTD",15612,"Kamara, Sam","CHI",11,"1",1.571,"LB","LB",-8.696,-7.829
2021,"YTD",15011,"Johnston, Clay","CIN",11,"1",0.917,"LB","LB",-9.35,-8.483
