"player_id","player_name","starter","points","ppg_avg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
14966,"Hudson, Khaleke",0,5,0.6145,-9.85,-9.85,-8.983,-8.983,"LB","LB",6,6
15155,"Mayden, Jared",0,5,0.8335,-8.833,-8.833,-8.833,-8.833,"DB","DB",6,6
15176,"Whittaker, Jace",0,5,1.9165,-8,-8,-8,-8,"DB","DB",6,6
15371,"Adams, Myles",0,5,2.5,-4.062,-4.062,-5.438,-5.438,"DL","DL",6,6
15547,"Hall, Kemon",0,5,0.357,-10.143,-10.143,-10.143,-10.143,"DB","DB",6,6
15608,"Hamilton, La'Darius",0,5,1.25,-9.017,-9.017,-8.15,-8.15,"LB","LB",6,6
12585,"Brown, Daniel",0,4.9,0.768,-13.274,-13.274,-13.274,-13.274,"TE","TE",6,6
12177,"White, Kevin",0,4.8,1.26675,-9.394,-9.394,-9.394,-9.394,"WR","WR",6,6
13882,"Kirkwood, Keith",0,4.7,2.59675,-7.844,-7.844,-7.844,-7.844,"WR","WR",6,6
12823,"Watt, Derek",0,4.6,0.4416,-8.719,-8.719,-8.719,-8.719,"RB","RB",6,6
15478,"Strachan, Mike",0,4.6,0.767,-9.427,-9.427,-9.427,-9.427,"WR","WR",6,6
14804,"McFarland, Anthony",0,4.59,2.1795,-6.711,-6.711,-6.711,-6.711,"RB","RB",6,6
14781,"Fromm, Jake",0,4.48,2.24,-14.049,-14.049,-14.049,-14.049,"QB","QB",6,6
14093,"Armstead, Ryquell",0,4.4,3.8,-4.606,-4.606,-4.606,-4.606,"RB","RB",6,6
15286,"Williams, Seth",0,4.4,4.4,-5.794,-5.794,-5.794,-5.794,"WR","WR",6,6
14808,"Evans, Darrynton",0,4.31,3.3055,-6.851,-6.851,-6.851,-6.851,"RB","RB",6,6
14824,"Phillips, Scottie",0,4.2,0.8675,-7.956,-7.956,-7.956,-7.956,"RB","RB",6,6
12621,"Allen, Brandon",0,4.12,5.816,-15.465,-15.465,-15.465,-15.465,"QB","QB",6,6
13194,"Sprinkle, Jeremy",0,4.1,1.145,-13.426,-13.426,-13.426,-13.426,"TE","TE",6,6
13316,"Taylor, Trent",0,4.09,3.7685,-8.831,-8.831,-8.831,-8.831,"WR","WR",6,6
