"player_id","player_name","starter","points","ppg","vbd_mfl_total","vbd_mfl_avg","vbd_true_total","vbd_true_avg","true_position","mfl_position","tier_mfl","tier_true"
12141,"Mariota, Marcus",0,87.02,13.5496666666667,-11.21,-3.73666666666667,-11.21,-3.73666666666667,"QB","QB",4,4
10653,"Bynes, Josh",0,87,9.09466666666667,-4.243,-1.41433333333333,-0.371,-0.123666666666667,"LB","LB",6,6
11858,"Carrie, T.J.",0,87,5.2,-12.386,-6.193,-12.386,-6.193,"DB","DB",6,6
12740,"Butler, Vernon",0,87,3.463,-10.756,-3.58533333333333,-14.049,-4.683,"DL","DL",6,6
14557,"Hall, Terez",0,87,10.875,-0.51,-0.51,1.808,1.808,"LB","LB",6,6
14967,"Vildor, Kindle",1,87,3.625,-15.536,-7.768,-15.536,-7.768,"DB","DB",6,6
11695,"Ebron, Eric",0,86.5,7.14866666666667,-11.177,-3.72566666666667,-11.177,-3.72566666666667,"TE","TE",3,3
14228,"Sheffield, Kendall",0,86.18,4.507,-19.39,-6.46333333333333,-19.39,-6.46333333333333,"DB","DB",6,6
9633,"McCourty, Jason",0,86,5.65966666666667,-15.932,-5.31066666666667,-15.932,-5.31066666666667,"DB","DB",6,6
11281,"Hankins, Johnathan",0,86,4.88466666666667,-6.491,-2.16366666666667,-9.784,-3.26133333333333,"DL","DL",6,6
11350,"Swearinger, D.J.",1,86,6.0055,-10.4,-5.2,-10.4,-5.2,"DB","DB",6,6
11501,"Robey, Nickell",0,86,6.10266666666667,-14.603,-4.86766666666667,-14.603,-4.86766666666667,"DB","DB",6,6
11775,"Brown, Preston",0,86,8.6,-1.275,-1.275,-0.588000000000001,-0.588000000000001,"LB","LB",6,6
12687,"Lawson, Shaq",0,86,5.054,-5.983,-1.99433333333333,-9.276,-3.092,"DL","DL",6,6
13612,"Johnson, Kerryon",0,86,5.1,-13.409,-4.46966666666667,-13.409,-4.46966666666667,"RB","RB",6,6
