"player_id" "player_name" "pos" "points" "war"
13207 "Willis, Jordan" "DL" 15 -0.07
13208 "Allen, Jonathan" "DL" 93 0.14
13214 "Watt, T.J." "LB" 145 0.4
13216 "Cunningham, Zach" "LB" 168 0.56
13221 "Davis, Jarrad" "LB" 111 0.17
13222 "McMillan, Raekwon" "LB" 87 0.04
13223 "Humphrey, Marlon" "DB" 46 0.04
13224 "Lattimore, Marshon" "DB" 92 0.05
13226 "Jackson, Adoree" "DB" 69.99 -0.05
13228 "Hooker, Malik" "DB" 58 -0.05
13229 "Jackson, Eddie" "DB" 99 0
13230 "Adams, Jamal" "DB" 178 0.56
13231 "Peppers, Jabrill" "DB" 159.14 0.43
13232 "King, Desmond" "DB" 107.63 0.06
13234 "Mack, Marlon" "RB" 131.8 0.31
13236 "Everett, Gerald" "TE" 89.8 0.13
13240 "Hill, Brian" "RB" 38 -0.04
13245 "Reddick, Haason" "LB" 123 0.24
13249 "White, Tre'Davious" "DB" 30 0.08
13250 "King, Kevin" "DB" 37 0.05
13251 "Baker, Budda" "DB" 187 0.62
13252 "Maye, Marcus" "DB" 81 -0.13
13253 "Williams, Marcus" "DB" 118 0.13
13254 "Shaheen, Adam" "TE" 17.4 -0.13
13265 "Ogunjobi, Larry" "DL" 73 0.03
13274 "Johnson, John" "DB" 87 0.12
13277 "Golladay, Kenny" "WR" 169.2 0.58
13284 "Hendrickson, Trey" "DL" 6 -0.11
13290 "Cohen, Tarik" "RB" 121.9 0.3
13292 "Nicholson, Montae" "DB" 96 0.06
13296 "Wise, Deatrich" "DL" 32 -0.12
13299 "Kittle, George" "TE" 138.8 0.35
13301 "Kazee, Damontae" "DB" 31 -0.08
13303 "Elliott, Jake" "PK" 66.2 0.01
13304 "Brown, Jayon" "LB" 128 0.24
13306 "Walker, Anthony" "LB" 123 0.24
13307 "Milano, Matt" "LB" 139 0.3
13319 "Jones, Aaron" "RB" 216.1 0.97
13321 "Gerry, Nate" "LB" 74 0.13
13322 "Clark, Chuck" "DB" 16 -0.01
13325 "Woods, Xavier" "DB" 88 0.03
13327 "Evans, Jordan" "LB" 0 -0.23
13347 "Gonzalez, Zane" "PK" 72.5 0.1
13354 "Butker, Harrison" "PK" 114.85 0.36
13364 "Carson, Chris" "RB" 172.9 0.66
13378 "Breida, Matt" "RB" 93.2 0.12
