"player_id" "player_name" "pos" "points" "war"
11858 "Carrie, Travis" "DB" 53 0.03
11883 "Mitchell, Terrance" "DB" 52 -0.04
11886 "Williams, Damien" "RB" 59.39 -0.09
11925 "Hurns, Allen" "WR" 92.6 0.14
11931 "Fowler, Bennie" "WR" 52 -0.09
11936 "Boswell, Chris" "PK" 104.8 0.09
11938 "Thielen, Adam" "WR" 187.6 0.83
11945 "Santos, Cairo" "PK" 22.7 -0.01
11947 "McManus, Brandon" "PK" 76.7 -0.12
11950 "McCain, Chris" "DL" 2 -0.09
11951 "Snead, Willie" "WR" 5.74 -0.13
11956 "Sorensen, Daniel" "DB" 134 0.26
11960 "Catanzaro, Chandler" "PK" 92.8 0
11965 "Butler, Malcolm" "DB" 79 -0.01
11975 "Gabriel, Taylor" "WR" 68.6 -0.05
11977 "Darkwa, Orleans" "RB" 66.4 0.1
12087 "Davis, Todd" "LB" 89 0.07
12098 "West, Charcandrick" "RB" 59.41 -0.03
12110 "Brate, Cameron" "TE" 103.2 0.27
12140 "Winston, Jameis" "QB" 113.9 -0.02
12141 "Mariota, Marcus" "QB" 157.92 0.04
12142 "Hundley, Brett" "QB" 74.82 0
12150 "Gurley, Todd" "RB" 240.4 1.24
12151 "Gordon, Melvin" "RB" 189.1 0.87
12152 "Coleman, Tevin" "RB" 135.7 0.47
12153 "Yeldon, T.J." "RB" 52.1 0.08
12154 "Ajayi, Jay" "RB" 95.3 0.16
12155 "Abdullah, Ameer" "RB" 107.25 0.26
12157 "Johnson, Duke" "RB" 146.1 0.54
12159 "Allen, Javorius" "RB" 125 0.39
12169 "Rawls, Thomas" "RB" 25.9 -0.1
12171 "Johnson, David" "RB" 14 0.1
12175 "Cooper, Amari" "WR" 122.3 0.34
12176 "Parker, DeVante" "WR" 81.9 0.11
12177 "White, Kevin" "WR" 2.6 -0.06
12181 "Agholor, Nelson" "WR" 114.8 0.28
12184 "Crowder, Jamison" "WR" 114 0.24
12186 "Diggs, Stefon" "WR" 130.4 0.31
12187 "Lockett, Tyler" "WR" 102.89 0.2
12197 "Perriman, Breshad" "WR" 12.4 -0.21
12205 "Funchess, Devin" "WR" 144.3 0.5
12211 "James, Jesse" "TE" 70.6 0.02
12212 "Kroft, Tyler" "TE" 62.1 0.03
12217 "Fowler, Dante" "DL" 75 0.04
12219 "Edwards, Mario" "DL" 60 -0.07
12221 "Hunter, Danielle" "DL" 79 0.07
12222 "Flowers, Trey" "DL" 115 0.34
12225 "Williams, Leonard" "DL" 59 -0.07
12230 "Beasley, Vic" "LB" 54 -0.08
12231 "Thompson, Shaq" "LB" 87 -0.02
12232 "Ryan, Jake" "LB" 80 -0.01
12233 "Alexander, Kwon" "LB" 98 0.16
12234 "Dupree, Bud" "LB" 69 -0.06
12237 "Wilson, Ramik" "LB" 14 -0.08
12238 "Perryman, Denzel" "LB" 38 0.07
12239 "Kendricks, Eric" "LB" 136 0.34
12245 "Peters, Marcus" "DB" 105 0.04
12246 "Williams, P.J." "DB" 11 -0.14
12248 "Waynes, Trae" "DB" 100 0.05
12250 "Collins, Landon" "DB" 168 0.51
12261 "Montgomery, Ty" "RB" 91.6 0.16
12268 "Jones, Byron" "DB" 109 0.07
12269 "Randall, Damarious" "DB" 106 0.05
12272 "McKinney, Benardrick" "LB" 123 0.25
12274 "Tartt, Jaquiski" "DB" 103 0.1
12276 "Darby, Ronald" "DB" 36 0.05
12278 "Golden, Markus" "LB" 22 -0.05
12280 "Clark, Frank" "DL" 59 -0.07
12287 "Hicks, Jordan" "LB" 50 -0.03
12288 "Anderson, Henry" "DL" 6 0
12305 "Jarrett, Grady" "DL" 69 0
12307 "Spaight, Martrell" "LB" 36 0.02
12308 "Amos, Adrian" "DB" 130 0.23
12319 "Nelson, J.J." "WR" 74.6 -0.01
12358 "Chickillo, Anthony" "LB" 13 -0.13
12362 "Pullard, Hayes" "LB" 79 0.12
12381 "Siemian, Trevor" "QB" 120.52 0
