"season","week","franchise_id","opponent_id"
"2017","07","0026","0034"
"2017","07","0036","0001"
"2017","07","0015","0020"
"2017","07","0013","0002"
"2017","07","0006","0035"
"2017","07","0011","0018"
"2017","07","0021","0029"
"2017","07","0003","0005"
"2017","07","0004","0024"
"2017","07","0003","0006"
"2017","07","0007","0015"
"2017","07","0008","0016"
"2017","07","0009","0004"
"2017","07","0011","0013"
"2017","07","0012","0021"
"2017","07","0025","0026"
"2017","07","0028","0031"
"2017","07","0032","0036"
"2017","07","0010","0014"
"2017","07","0019","0017"
"2017","07","0022","0020"
"2017","07","0023","0001"
"2017","07","0024","0002"
"2017","07","0034","0005"
"2017","07","0018","0029"
"2017","07","0027","0030"
"2017","07","0033","0035"
"2017","08","0003","0007"
"2017","08","0008","0009"
"2017","08","0011","0012"
"2017","08","0004","0013"
"2017","08","0021","0025"
"2017","08","0028","0032"
"2017","08","0006","0015"
"2017","08","0016","0026"
"2017","08","0031","0036"
"2017","08","0010","0019"
"2017","08","0022","0023"
"2017","08","0024","0034"
"2017","08","0001","0002"
"2017","08","0005","0018"
"2017","08","0027","0033"
"2017","08","0014","0017"
"2017","08","0020","0029"
"2017","08","0030","0035"
"2017","08","0003","0015"
"2017","08","0007","0016"
"2017","08","0008","0006"
"2017","08","0009","0013"
"2017","08","0011","0021"
"2017","08","0012","0004"
"2017","08","0025","0031"
"2017","08","0028","0036"
"2017","08","0032","0026"
"2017","08","0010","0017"
"2017","08","0019","0020"
"2017","08","0022","0014"
"2017","08","0023","0002"
"2017","08","0024","0005"
"2017","08","0034","0001"
"2017","08","0018","0030"
"2017","08","0027","0035"
"2017","08","0033","0029"
"2017","09","0003","0008"
"2017","09","0007","0011"
"2017","09","0009","0012"
"2017","09","0004","0021"
"2017","09","0013","0028"
"2017","09","0025","0032"
"2017","09","0006","0016"
"2017","09","0015","0031"
"2017","09","0026","0036"
"2017","09","0010","0022"
"2017","09","0019","0024"
"2017","09","0023","0034"
"2017","09","0001","0005"
"2017","09","0002","0027"
"2017","09","0018","0033"
"2017","09","0014","0020"
"2017","09","0017","0030"
"2017","09","0029","0035"
"2017","09","0003","0016"
"2017","09","0007","0006"
"2017","09","0008","0015"
"2017","09","0009","0021"
"2017","09","0011","0004"
"2017","09","0012","0013"
"2017","09","0025","0036"
"2017","09","0028","0026"
"2017","09","0032","0031"
"2017","09","0010","0020"
"2017","09","0019","0014"
"2017","09","0022","0017"
"2017","09","0023","0005"
"2017","09","0024","0001"
"2017","09","0034","0002"
"2017","09","0018","0035"
"2017","09","0027","0029"
"2017","09","0033","0030"
"2017","10","0003","0009"
"2017","10","0007","0012"
"2017","10","0008","0011"
"2017","10","0004","0025"
"2017","10","0013","0032"
"2017","10","0021","0028"
"2017","10","0006","0026"
"2017","10","0015","0036"
"2017","10","0016","0031"
"2017","10","0010","0023"
"2017","10","0019","0034"
"2017","10","0022","0024"
"2017","10","0001","0018"
"2017","10","0002","0033"
"2017","10","0005","0027"
"2017","10","0014","0029"
"2017","10","0017","0035"
"2017","10","0020","0030"
"2017","10","0003","0026"
"2017","10","0007","0031"
"2017","10","0008","0036"
"2017","10","0009","0025"
"2017","10","0011","0028"
"2017","10","0012","0032"
"2017","10","0004","0006"
"2017","10","0013","0015"
"2017","10","0021","0016"
"2017","10","0010","0029"
"2017","10","0019","0030"
"2017","10","0022","0035"
"2017","10","0023","0018"
"2017","10","0024","0027"
"2017","10","0034","0033"
"2017","10","0001","0014"
"2017","10","0002","0017"
"2017","10","0005","0020"
"2017","11","0003","0011"
"2017","11","0007","0009"
"2017","11","0008","0012"
"2017","11","0004","0028"
"2017","11","0013","0025"
"2017","11","0021","0032"
"2017","11","0006","0031"
"2017","11","0015","0026"
"2017","11","0016","0036"
"2017","11","0010","0024"
"2017","11","0019","0023"
"2017","11","0022","0034"
"2017","11","0001","0027"
"2017","11","0002","0018"
